55712,"À Í A","Bên cạnh làng tôi đất bán hết rồi, chỉ còn nho nhỏ nghĩa địa xa xa...","Lê Minh Sơn"
55713,"ANH LÀ ÁNH SAO BĂNG","Đời như giọt sương đong đầy rồi tan vỡ...","Trung Lê"
55714,"ẦU Ơ VÍ DẦU","Xa quê hương xa nơi nằm nôi yêu thương...","Trần Anh Khôi"
55715,"BÀI CA TẠM BIỆT","Chưa yên vui cho trọn ngày, áo lính lại khoác vào ngay...","Diệp Minh Tuyền"
55716,"BÍ MẬT CỦA NỖI BUỒN","Đừng khóc khi tình ra đi, đừng khóc cho úa môi mềm...","Nguyễn Hồng Thuận"
55717,"BIẾT ANH SAI","Một mình ngồi đây, không có em như hôm nào...","Phạm Trưởng"
55718,"BÌNH YÊN NHÉ","Chiều nay trên phố mưa bay, có một người tiễn đưa một người...","Khắc Việt"
55719,"BÔNG HOA MỪNG CÔ","Mồng tám tháng ba, em ra thăm vườn, chọn một bông hoa...","Trần Thị Duyên"
55749,"HOÀNG TỬ TRONG MƠ","Ai lớn lên không một lần yêu, khi biết yêu mơ mộng thật nhiều...","Giao Tiên"
55746,"GÓC PHỐ CHỜ EM","Anh vẫn biết tình ta lỡ làng rồi, sao vẫn đợi em nơi góc phố...","Randy"
55745,"GIẤC MƠ CỦA TÔI","Bước chân nhỏ bé âm thầm về đâu trong đêm vắng tênh...","Anh Quân"
55748,"HẾT RỒI","Anh nào hay em vẫn đang nhớ mong...","Phúc Trường"
55747,"HÃY ĐỂ EM RA ĐI","Ngồi trong đêm vắng viết thư cho anh...","Vĩnh Tâm"
55742,"ĐỪNG NHÌN LẠI","Đừng nhìn lại sau lưng, nên cố đi nơi đâu thật xa...","Lương Bằng Quang"
55741,"ĐỢI CHỜ VÔ VỌNG","Này hỡi người tình sao anh không lại, sáng nay con chim hót...","Đynh Trầm Ca"
55744,"EM YÊU ANH NHƯ YÊU CÂU VÍ DẶM","Tình yêu anh như sóng biển chiều hôm...","Vũ Ngọc Quang"
55743,"EM CHỜ ANH","Hoàng hôn buông xuống, từng cánh én bay cuối trời xa xa...","Phạm Khánh Hưng"
55740,"ĐỢI BƯỚC CHÂN EM VỀ","Anh biết từ đây, yêu thương tan thành khói mây...","Phúc Trường"
55759,"MIỀN XA THẲM","Xa thẳm, một miền xa thẳm tiếng gọi hồn thiêng núi sông...","Đức Trịnh"
55758,"MẸ QUÊ","Về đây lặng lẽ cô đơn đứng trong mưa...","Nguyễn Nhất Huy"
55757,"LỜI NHẮN NHỦ DỄ THƯƠNG","Điều thứ nhất ghét ai nhút nhát, mến người ta sao để trong lòng...","Nguyễn Ngọc Thiện, Đông Quỳnh"
55756,"LỜI KHÔNG NÓI","Ngày tháng trôi, la la..., lặng lẽ thôi, la la..., lời nói chỉ mình em...","Khởi My"
55755,"LẦN ĐẦU","Nhanh nhanh, chạy nhanh nhanh rộn ràng điệu nhạc vui...","Trọng Vũ"
55754,"LÀN MƯA ẤM","Chiều nay anh lê đôi chân bước trên đường dài...","OnlyC"
