55110,"SÁO LẠC BỜ XA","Em chẳng nhớ đâu, ngày xưa mẹ khâu áo bên hàng dừa...",Võ Thiện Thanh
55111,"SẮP ĐẾN TẾT RỒI","Sắp đến tết rồi, đến trường rất vui...",Hoàng Vân
53625,"SÁT CÁNH BÊN NHAU","Tình yêu sẽ luôn luôn còn mãi tình bạn sẽ luôn luôn còn hoài...",Sỹ Luân
55416,"SAU ĐÊM NAY","Còn đây một đêm ôi một đêm bên người em hãy khóc đi nhé...",Đình Văn
51489,"SAU LẦN HẸN CUỐI","Sau lần hẹn cuối em về...",Hoài Nam
51831,"SAU MỘT LỜI NÓI DỐI","Từng nụ hôn khép lại sau đôi môi hững hờ...",Nguyễn Hoài Anh
51873,"SAU MỘT TÌNH YÊU","Có ai từng yêu mà không đau đớn một lần...",Nguyễn Hoài Anh
50003,"SÁU MƯƠI NĂM","Em ơi có bao nhiêu...",Y Vân
54114,"SAY ĐẮM","Xin rời xa dù ước muốn đậm sâu...",Hồ Hoài Anh
51548,"SAY TÌNH","Rót mãi những chén chua cay...","Nhạc ngoại, Lời Việt: Quốc Tuấn"
53943,"SẤM VANG DÒNG NHƯ NGUYỆT","Hơ hơ hơ hơ hơ hơ hơ...một lòng son trung dũng...",Chương Đức
52281,"SẦU LẺ BÓNG","Người ơi khi cố quên là khi lòng nhớ thêm...",Anh Bằng
51620,"SẦU ĐÂU ĐẮNG HOÀI","Quê hương là gì...","Nhạc: Lý Dũng Liêm, Lời: Nguyên Thảo"
50039,"SẦU ĐÔNG","Chiều nay gió đông về...",Khánh Băng
53337,"SẦU TÍM THIỆP HỒNG","Từ lúc quen em chưa nói một lời nào tỏ tình ta mến nhau...",Minh Kỳ - Hoài Linh
50778,"SẦU TƯƠNG TƯ","Son phấn nào đâu...",Nhạc ngoại
54564,"SẮC BIẾC TÂY HỒ","Lãng Bạc mây bay Dâm Đàm sương trắng sớm, thu nay mặt hồ...","Nhạc: Đặng Quang Vinh, Thơ: Nguyễn Quân"
51666,"SẮC MÀU TÌNH YÊU","Một ngày tình cờ...",Nguyễn Ngọc Thạch
51354,"SẮC MÀU","Một màu xanh xanh...",Trần Tiến
53942,"SẮC XANH MÙA HÈ","Kìa làn mây trắng bay về nơi vắng...",Trung Kiên - Lê Kim
50357,"SEALED WITH A KISS","Tho' we gotta say goodbye...",Nhạc ngoại
52554,"SEN TRẮNG ĐỒNG NAI","Tỏa sáng trên mặt nước, đầm sen trắng miên man...",Trần Quang Huy
54565,"SẼ KHÔNG BAO GIỜ YÊU","Đêm buồn lạnh giá ướt đôi bờ vai, từng hạt tuyết rớt rơi bên thềm...",Vĩnh Tâm
53944,"SẼ KHÔNG CÒN","Sẽ không còn tình yêu một thời thơ ngây...",Trương Lê Sơn
55112,"SẼ MÃI BÊN ANH","Yeah... Này baby... Đừng xa cho anh luôn luôn chờ mong...",Trương Thanh Hiếu
54825,"SẼ MÃI KHÔNG THÀNH","Thời gian em đến bên anh cho anh đam mê một trời yêu dấu...",Duy Mạnh
52553,"SẼ MÃI LÀ NGƯỜI BẠN THÂN","Em yêu anh mà không dám nói, chỉ giấu trong tim...",Trường Huy
50736,"SẼ NÓI LỜI YÊU THƯƠNG TỚI NGƯỜI","Cứ muốn nói một lời...",Đoàn Xuân Mỹ
51223,"SẼ QUA TRONG MƯA","Khi mùa xuân đến...",Nguyễn Đức Trung
53800,"SẼ QUAY VỀ","Hơ hơ hơ...Đừng buồn nhé nếu mai anh xa em rồi ...",Nathan Lee
50996,"SHA LA LA","My heart goes sha la la...",Nhạc Anh
52282,"SIẾT CHẶT BÀN TAY","Siết chặt bàn tay thương sao đôi vai trần...",Văn Khánh - Trúc Phương
50984,"SILENT NIGHT","Đêm thánh vô cùng...",Nhạc Anh
51392,"SINH NHẬT KHÔNG CÓ ANH","Sinh nhật không có anh...",Thế Hiển
50899,"SLEEPING CHILD","Chân tôi bước nhanh...",Nhạc ngoại
54566,"SỐ PHONE VÔ TÌNH","Từng ngày qua sao anh cứ tránh mặt em, em gọi phone...",Nguyên Chấn Phong
52555,"SÔCÔLA","Sôcôla la... Dưới phố có lứa đôi kề bước bên nhau...",Võ Thiện Thanh
55417,"SƠN TINH THUỶ TINH","Sử vàng ghi chép, ngày trước Hùng Vương có nàng công chúa...",Phan Quang Định
52678,"SÔNG ĐAKRÔNG MÙA XUÂN VỀ","Chim Kơtia bay tới, nghiêng cánh chào Đakrông...",Tô Hải
54567,"SÔNG HIỀN LƯƠNG","Chiều Hiền Lương như tranh và mây nước trong lành...",An Thuyên
53483,"SÔNG NGÂN ÊM ĐỀM","Chuyện rằng có cô bé lạc trên phố mộng mơ...",Trần Minh Phi
51013,"SÔNG QUÊ","Hò ơ sông quê nước chảy...",Đynh Trầm Ca
52813,"SÔNG TRĂNG","Nơi chân trời cao rất xa, có ánh trăng sáng ngời...",Vĩnh Tâm
54329,"SỢ","Một ngày buồn nếu anh không có em, vì em ra đi...",Hồ Minh Phúc
54827,"SỢ RẰNG EM NHỚ AI","Từng chiều con đường ngập nắng xưa đôi ta vẫn thường mơ...",Bằng Cường
50939,"SỢI NHỚ SỢI THƯƠNG","Trường Sơn Đông Trường Sơn Tây...","Nhạc: Phan Huỳnh Điểu, Thơ: Thúy Bắc"
52677,"SỢI NHỚ","Mưa hay rơi bên thềm lạnh lùng những tối, lạnh lùng...",Hoài Phương
