55950,"ANH CẦN EM","Anh ngồi suy nghĩ về chuyện tình đôi ta sẽ đi về đâu em ơi...",Khắc Việt
55951,"ANH KHÁC HAY EM KHÁC","Có phải em hết yêu anh rồi em hãy nói đi người ơi...",Khắc Việt
55952,"ANH KHÔNG LÀ GIẤC MƠ","Khi em quen anh bao âu lo tan biến trong cuộc đời...",Phạm Hoàng Long
55953,"ANH MƠ","Sáng nay anh được gặp em, lòng anh hạnh phúc thật nhiều...",Anh Khang
55954,"ANH MUỐN NÓI","Trong tình yêu người đời hay nói nhau rằng...",Minh Vy
55955,"ANH QUÊN BẢN THÂN ANH LÀ AI","Ngày bên nhau anh mong phút giây êm đềm...",Hà Hải Đăng
55956,"ANH TRÔI VỀ EM","Mưa lại rơi ngẩn ngơ góc phố, em đi về mưa rơi ngày xưa...",Huy Tuấn
55957,"ANH VẪN THỨ THA","Ngày tháng trống vắng vẫn rơi bên đời anh khi em đi mất rồi...",Đỗ Đình Phúc
55958,"ÁNH MẮT ĐẦU TIÊN","Đêm qua lang thang bước trên dọc nơi hành lang phố quen...",Nguyễn Hồng Thuận
55959,"ÁNH SAO BĂNG CÔ ĐƠN","Ngồi trong đêm anh ngắm sao nghe lòng bao xót xa...",Cao Quân Kiệt
55960,"ÁNH SAO TRONG ĐÊM MƯA","Từng hạt mưa rơi rớt cho lòng em buốt giá, từng đêm nhớ thương về anh...",Trương Lê Sơn
55961,"ẤY ƠI ẤY À","Mỗi ngày qua anh vu vơ... Ngày hôm qua anh nằm mơ thấy em đó...",Trần Anh Khôi
55962,"BA BÀ ĐI BÁN LỢN CON","Ba bà đi bán lợn con, bán đi chẳng được lon ton chạy về...",Lê Cao Phan
55963,"BA HẠT DẺ DÀNH CHO LỌ LEM","Ba hạt dẻ nhỏ dành cho Lọ Lem trong câu chuyện xưa...",Phan Thanh Trường
55964,"BA NĂM YÊU EM ÂM THẦM","Đêm đêm mình ta riêng bóng ưu tư một nỗi hoài mong...",Tô Thanh Sơn
55965,"BÀI CA VĨNH LINH","Ngó bên tê Trường Sơn một dải, nghe bên ni sóng vỗ Cửa Tùng...",Hoàng Vân
55966,"BÀI HÁT BUỒN","Bàn tay bàn tay bé nhỏ mùa đông tìm đâu hơi ấm...",Dương Thụ
55967,"BAO GIỜ TA GẶP LẠI","Tưởng rằng anh đến đây như chim trời mỏi cánh...",Trịnh Lâm Ngân
55968,"BAO LA TÌNH NGƯỜI","Cuộc đời hôm nay còn lắm thương đau...",Vy Nhật Tảo
55969,"BAY","Cho bao nhiêu bước chân đêm nay rung lên nhẹ nhàng...",Nguyễn Hải Phong
55970,"BAY LÊN NHỮNG GIẤC MƠ","Đôi khi lòng ta bỗng thấy buồn phiền, đôi khi thời gian khiến ta mỏi mệt...",Nguyễn Hồng Thuận
55971,"BẮC HÀ YÊU THƯƠNG","Mời anh đến thăm quê em chỉ một lần mãi không quên đất Bắc Hà...",Thuận Yến
